GVKEY,LPERMNO,LPERMCO,datadate,fyear,indfmt,consol,popsrc,datafmt,cusip,conm,curcd,fyr,at,costat,fic,mkvalt,prcc_f,sic
001004,54594,20000,20100531,2009,INDL,C,D,STD,000361105,AAR CORP,USD,5,1501.0420,A,USA,777.8348,19.7000,5080
001004,54594,20000,20110531,2010,INDL,C,D,STD,000361105,AAR CORP,USD,5,1703.7270,A,USA,1049.8206,26.3900,5080
001004,54594,20000,20120531,2011,INDL,C,D,STD,000361105,AAR CORP,USD,5,2195.6530,A,USA,485.2897,12.0500,5080
001004,54594,20000,20130531,2012,INDL,C,D,STD,000361105,AAR CORP,USD,5,2136.9000,A,USA,790.0029,20.0600,5080
001004,54594,20000,20140531,2013,INDL,C,D,STD,000361105,AAR CORP,USD,5,2199.5000,A,USA,961.3080,24.3000,5080
001004,54594,20000,20150531,2014,INDL,C,D,STD,000361105,AAR CORP,USD,5,1515.0000,A,USA,1046.3954,29.5400,5080
001013,50906,2902,20100930,2010,INDL,C,D,STD,000886309,ADC TELECOMMUNICATIONS INC,USD,9,1474.5000,I,USA,1231.5240,12.6700,3661
001045,21020,20010,20101231,2010,INDL,C,D,STD,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,25088.0000,A,USA,2597.5755,7.7900,4512
001045,21020,20010,20111231,2011,INDL,C,D,STD,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,23848.0000,A,USA,117.3438,0.3500,4512
001045,21020,20010,20141231,2014,INDL,C,D,STD,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,43771.0000,A,USA,37405.5843,53.6300,4512
001045,21020,20010,20151231,2015,INDL,C,D,STD,02376R102,AMERICAN AIRLINES GROUP INC,USD,12,48415.0000,A,USA,26452.7417,42.3500,4512
001050,11499,176,20101231,2010,INDL,C,D,STD,125141101,CECO ENVIRONMENTAL CORP,USD,12,74.7910,A,USA,85.3412,5.9600,3564
001050,11499,176,20111231,2011,INDL,C,D,STD,125141101,CECO ENVIRONMENTAL CORP,USD,12,79.3450,A,USA,80.5638,5.5500,3564
001050,11499,176,20121231,2012,INDL,C,D,STD,125141101,CECO ENVIRONMENTAL CORP,USD,12,94.1040,A,USA,168.7421,9.9500,3564
001050,11499,176,20131231,2013,INDL,C,D,STD,125141101,CECO ENVIRONMENTAL CORP,USD,12,348.5360,A,USA,413.2812,16.1520,3564
001050,11499,176,20141231,2014,INDL,C,D,STD,125141101,CECO ENVIRONMENTAL CORP,USD,12,414.3650,A,USA,408.1892,15.5400,3564
001050,11499,176,20151231,2015,INDL,C,D,STD,125141101,CECO ENVIRONMENTAL CORP,USD,12,598.8190,A,USA,260.4902,7.6800,3564
001062,26649,20015,20101130,2010,INDL,C,D,STD,G3156P103,ASA GOLD AND PRECIOUS METALS,USD,11,671.5800,A,BMU,,33.8400,6799
001062,26649,20015,20111130,2011,INDL,C,D,STD,G3156P103,ASA GOLD AND PRECIOUS METALS,USD,11,632.7150,A,BMU,,28.8600,6799
001062,26649,20015,20121130,2012,INDL,C,D,STD,G3156P103,ASA GOLD AND PRECIOUS METALS,USD,11,468.0130,A,BMU,,22.0000,6799
001062,26649,20015,20131130,2013,INDL,C,D,STD,G3156P103,ASA GOLD AND PRECIOUS METALS,USD,11,252.1420,A,BMU,,12.7800,6799
001062,26649,20015,20141130,2014,INDL,C,D,STD,G3156P103,ASA GOLD AND PRECIOUS METALS,USD,11,223.3330,A,BMU,,10.7400,6799
001062,26649,20015,20151130,2015,INDL,C,D,STD,G3156P103,ASA GOLD AND PRECIOUS METALS,USD,11,162.3500,A,BMU,138.1164,7.1600,6799
001072,81912,30930,20100331,2009,INDL,C,D,STD,002444107,AVX CORP,USD,3,2051.4920,A,USA,2415.0508,14.2000,3670
001072,81912,30930,20110331,2010,INDL,C,D,STD,002444107,AVX CORP,USD,3,2319.4820,A,USA,2536.8172,14.9100,3670
001072,81912,30930,20120331,2011,INDL,C,D,STD,002444107,AVX CORP,USD,3,2468.0120,A,USA,2248.9093,13.2600,3670
001072,81912,30930,20130331,2012,INDL,C,D,STD,002444107,AVX CORP,USD,3,2601.9950,A,USA,2006.7327,11.9000,3670
001072,81912,30930,20140331,2013,INDL,C,D,STD,002444107,AVX CORP,USD,3,2384.9880,A,USA,2217.1528,13.1800,3670
001072,81912,30930,20150331,2014,INDL,C,D,STD,002444107,AVX CORP,USD,3,2459.0150,A,USA,2400.0713,14.2700,3670
001075,27991,21409,20101231,2010,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,12,12362.7030,A,USA,4508.5165,41.4500,4911
001075,27991,21409,20111231,2011,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,12,13111.0180,A,USA,5263.4723,48.1800,4911
001075,27991,21409,20121231,2012,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,12,13379.6150,A,USA,5594.6981,50.9800,4911
001075,27991,21409,20131231,2013,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,12,13508.6860,A,USA,5830.8314,52.9200,4911
001075,27991,21409,20141231,2014,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,12,14313.5320,A,USA,7553.1050,68.3100,4911
001075,27991,21409,20151231,2015,INDL,C,D,STD,723484101,PINNACLE WEST CAPITAL CORP,USD,12,15028.2580,A,USA,7155.9904,64.4800,4911
001076,10517,5674,20101231,2010,INDL,C,D,STD,002535300,AARON'S INC,USD,12,1502.0720,A,USA,1632.9739,20.3900,7359
001076,10517,5674,20111231,2011,INDL,C,D,STD,002535300,AARON'S INC,USD,12,1735.1490,A,USA,2018.0752,26.6800,7359
001076,10517,5674,20121231,2012,INDL,C,D,STD,002535300,AARON'S INC,USD,12,1812.9290,A,USA,2141.3616,28.2800,7359
001076,10517,5674,20131231,2013,INDL,C,D,STD,002535300,AARON'S INC,USD,12,1827.1760,A,USA,2144.9358,29.4000,7359
001076,10517,5674,20141231,2014,INDL,C,D,STD,002535300,AARON'S INC,USD,12,2456.8440,A,USA,2215.9582,30.5700,7359
001076,10517,5674,20151231,2015,INDL,C,D,STD,002535300,AARON'S INC,USD,12,2658.8750,A,USA,1625.5140,22.3900,7359
001078,20482,20017,20101231,2010,INDL,C,D,STD,002824100,ABBOTT LABORATORIES,USD,12,59462.2660,A,USA,74116.0034,47.9100,2834
001078,20482,20017,20111231,2011,INDL,C,D,STD,002824100,ABBOTT LABORATORIES,USD,12,60276.8930,A,USA,88302.4112,56.2300,2834
001078,20482,20017,20121231,2012,INDL,C,D,STD,002824100,ABBOTT LABORATORIES,USD,12,67234.9440,A,USA,103271.6885,65.5000,2834
001078,20482,20017,20131231,2013,INDL,C,D,STD,002824100,ABBOTT LABORATORIES,USD,12,42953.0000,A,USA,59338.5963,38.3300,2834
001078,20482,20017,20141231,2014,INDL,C,D,STD,002824100,ABBOTT LABORATORIES,USD,12,41275.0000,A,USA,67891.7357,45.0200,2834
001078,20482,20017,20151231,2015,INDL,C,D,STD,002824100,ABBOTT LABORATORIES,USD,12,41247.0000,A,USA,66137.3852,44.9100,2834
001082,10568,5580,20100430,2009,INDL,C,D,STD,81765M106,SERVIDYNE INC,USD,4,40.9520,I,USA,12.4988,3.4001,8700
001082,10568,5580,20110430,2010,INDL,C,D,STD,81765M106,SERVIDYNE INC,USD,4,26.2280,I,USA,8.5651,2.3300,8700
001094,10656,37,20100630,2010,INDL,C,D,STD,004446100,ACETO CORP,USD,6,231.8510,A,USA,145.6280,5.7300,5160
001094,10656,37,20110630,2011,INDL,C,D,STD,004446100,ACETO CORP,USD,6,311.6650,A,USA,178.6202,6.7100,5160
001094,10656,37,20120630,2012,INDL,C,D,STD,004446100,ACETO CORP,USD,6,299.2800,A,USA,243.2411,9.0300,5160
001094,10656,37,20130630,2013,INDL,C,D,STD,004446100,ACETO CORP,USD,6,323.4300,A,USA,387.6858,13.9300,5160
001094,10656,37,20140630,2014,INDL,C,D,STD,004446100,ACETO CORP,USD,6,467.9840,A,USA,521.9241,18.1400,5160
001094,10656,37,20150630,2015,INDL,C,D,STD,004446100,ACETO CORP,USD,6,489.7740,A,USA,717.8906,24.6300,5160
001104,60038,370,20101231,2010,INDL,C,D,STD,004816104,ACME UNITED CORP,USD,12,49.5810,A,USA,29.2169,9.5200,3420
001104,60038,370,20111231,2011,INDL,C,D,STD,004816104,ACME UNITED CORP,USD,12,55.2220,A,USA,29.7825,9.5000,3420
001104,60038,370,20121231,2012,INDL,C,D,STD,004816104,ACME UNITED CORP,USD,12,67.8280,A,USA,34.5000,11.0400,3420
001104,60038,370,20131231,2013,INDL,C,D,STD,004816104,ACME UNITED CORP,USD,12,68.0790,A,USA,47.6949,14.9000,3420
001104,60038,370,20141231,2014,INDL,C,D,STD,004816104,ACME UNITED CORP,USD,12,79.3080,A,USA,65.7871,19.9900,3420
001104,60038,370,20151231,2015,INDL,C,D,STD,004816104,ACME UNITED CORP,USD,12,81.4210,A,USA,58.2552,17.4000,3420
001117,10779,65,20101231,2010,INDL,C,D,STD,759525108,RELM WIRELESS CORP,USD,12,34.7920,A,USA,24.3162,1.8000,3663
001117,10779,65,20111231,2011,INDL,C,D,STD,759525108,RELM WIRELESS CORP,USD,12,31.8470,A,USA,14.8709,1.1000,3663
001117,10779,65,20121231,2012,INDL,C,D,STD,759525108,RELM WIRELESS CORP,USD,12,33.9600,A,USA,22.7556,1.6800,3663
001117,10779,65,20131231,2013,INDL,C,D,STD,759525108,RELM WIRELESS CORP,USD,12,34.0230,A,USA,45.7949,3.3700,3663
001117,10779,65,20141231,2014,INDL,C,D,STD,759525108,RELM WIRELESS CORP,USD,12,36.9860,A,USA,65.5920,4.8000,3663
001117,10779,65,20151231,2015,INDL,C,D,STD,759525108,RELM WIRELESS CORP,USD,12,39.4490,A,USA,54.1001,3.9400,3663
001119,10065,20023,20101231,2010,INDL,C,D,STD,006212104,ADAMS DIVERSIFIED EQUITY FD,USD,12,,A,USA,,10.7400,6726
001119,10065,20023,20111231,2011,INDL,C,D,STD,006212104,ADAMS DIVERSIFIED EQUITY FD,USD,12,,A,USA,,9.6400,6726
001119,10065,20023,20121231,2012,INDL,C,D,STD,006212104,ADAMS DIVERSIFIED EQUITY FD,USD,12,,A,USA,,10.5900,6726
001119,10065,20023,20131231,2013,INDL,C,D,STD,006212104,ADAMS DIVERSIFIED EQUITY FD,USD,12,,A,USA,,13.0700,6726
001119,10065,20023,20141231,2014,INDL,C,D,STD,006212104,ADAMS DIVERSIFIED EQUITY FD,USD,12,,A,USA,,13.6800,6726
001119,10065,20023,20151231,2015,INDL,C,D,STD,006212104,ADAMS DIVERSIFIED EQUITY FD,USD,12,,A,USA,,12.8300,6726
001121,61487,59,20101231,2010,INDL,C,D,STD,006351308,ADAMS RESOURCES & ENERGY INC,USD,12,301.3050,A,USA,102.5649,24.3160,5172
001121,61487,59,20111231,2011,INDL,C,D,STD,006351308,ADAMS RESOURCES & ENERGY INC,USD,12,378.8400,A,USA,122.7902,29.1110,5172
001121,61487,59,20121231,2012,INDL,C,D,STD,006351308,ADAMS RESOURCES & ENERGY INC,USD,12,419.5010,A,USA,147.9253,35.0700,5172
001121,61487,59,20131231,2013,INDL,C,D,STD,006351308,ADAMS RESOURCES & ENERGY INC,USD,12,448.0820,A,USA,288.9330,68.5000,5172
001121,61487,59,20141231,2014,INDL,C,D,STD,006351308,ADAMS RESOURCES & ENERGY INC,USD,12,340.8140,A,USA,210.6891,49.9500,5172
001121,61487,59,20151231,2015,INDL,C,D,STD,006351308,ADAMS RESOURCES & ENERGY INC,USD,12,243.2150,A,USA,161.9712,38.4000,5172
001161,61241,211,20101231,2010,INDL,C,D,STD,007903107,ADVANCED MICRO DEVICES,USD,12,4964.0000,A,USA,5586.9400,8.1800,3674
001161,61241,211,20111231,2011,INDL,C,D,STD,007903107,ADVANCED MICRO DEVICES,USD,12,4954.0000,A,USA,3769.2000,5.4000,3674
001161,61241,211,20121231,2012,INDL,C,D,STD,007903107,ADVANCED MICRO DEVICES,USD,12,4000.0000,A,USA,1711.2000,2.4000,3674
001161,61241,211,20131231,2013,INDL,C,D,STD,007903107,ADVANCED MICRO DEVICES,USD,12,4337.0000,A,USA,2805.7500,3.8700,3674
001161,61241,211,20141231,2014,INDL,C,D,STD,007903107,ADVANCED MICRO DEVICES,USD,12,3767.0000,A,USA,2071.9200,2.6700,3674
001161,61241,211,20151231,2015,INDL,C,D,STD,007903107,ADVANCED MICRO DEVICES,USD,12,3109.0000,A,USA,2273.0400,2.8700,3674
001166,11077,374,20101231,2010,INDL,C,D,STD,N07045102,ASM INTERNATIONAL NV,USD,12,1611.0120,A,NLD,1853.1493,35.0100,3559
001166,11077,374,20111231,2011,INDL,C,D,STD,N07045102,ASM INTERNATIONAL NV,USD,12,2052.6150,A,NLD,1609.2556,29.0600,3559
001166,11077,374,20121231,2012,INDL,C,D,STD,N07045102,ASM INTERNATIONAL NV,USD,12,1977.2490,A,NLD,2289.1229,36.2800,3559
001166,11077,374,20131231,2013,INDL,C,D,STD,N07045102,ASM INTERNATIONAL NV,USD,12,2137.4660,A,NLD,2094.4440,33.0000,3559
001166,11077,374,20141231,2014,INDL,C,D,STD,N07045102,ASM INTERNATIONAL NV,USD,12,2210.7720,A,NLD,2667.9542,42.3700,3559
001166,11077,374,20151231,2015,INDL,C,D,STD,N07045102,ASM INTERNATIONAL NV,USD,12,2174.2020,A,NLD,2344.8280,38.0000,3559
001173,11157,376,20100131,2009,INDL,C,D,STD,008015307,AEROSONIC CORP,USD,1,21.4760,I,USA,14.7001,3.9400,3812
001173,11157,376,20110131,2010,INDL,C,D,STD,008015307,AEROSONIC CORP,USD,1,23.6780,I,USA,13.3839,3.5700,3812
001173,11157,376,20120131,2011,INDL,C,D,STD,008015307,AEROSONIC CORP,USD,1,23.0350,I,USA,12.7426,3.3800,3812
001173,11157,376,20130131,2012,INDL,C,D,STD,008015307,AEROSONIC CORP,USD,1,23.3240,I,USA,15.4674,3.9000,3812
001177,88845,41072,20101231,2010,INDL,C,D,STD,00817Y108,AETNA INC,USD,12,37739.4000,A,USA,11728.0440,30.5100,6324
001177,88845,41072,20111231,2011,INDL,C,D,STD,00817Y108,AETNA INC,USD,12,38593.1000,A,USA,14753.8430,42.1900,6324
001177,88845,41072,20121231,2012,INDL,C,D,STD,00817Y108,AETNA INC,USD,12,41494.5000,A,USA,15171.1560,46.3100,6324
001177,88845,41072,20131231,2013,INDL,C,D,STD,00817Y108,AETNA INC,USD,12,49871.8000,A,USA,,68.5900,6324
001177,88845,41072,20141231,2014,INDL,C,D,STD,00817Y108,AETNA INC,USD,12,53402.1000,A,USA,31072.7340,88.8300,6324
001177,88845,41072,20151231,2015,INDL,C,D,STD,00817Y108,AETNA INC,USD,12,53424.1000,A,USA,37787.9400,108.1200,6324
001186,78223,26174,20101231,2010,INDL,C,D,STD,008474108,AGNICO EAGLE MINES LTD,USD,12,5500.3510,A,CAN,12940.8240,76.7000,1040
001186,78223,26174,20111231,2011,INDL,C,D,STD,008474108,AGNICO EAGLE MINES LTD,USD,12,5034.2620,A,CAN,6203.9645,36.3200,1040
001186,78223,26174,20121231,2012,INDL,C,D,STD,008474108,AGNICO EAGLE MINES LTD,USD,12,5255.8420,A,CAN,9028.5758,52.4600,1040
001186,78223,26174,20131231,2013,INDL,C,D,STD,008474108,AGNICO EAGLE MINES LTD,USD,12,4959.3590,A,CAN,4588.9065,26.3800,1040
001186,78223,26174,20141231,2014,INDL,C,D,STD,008474108,AGNICO EAGLE MINES LTD,USD,12,6840.5380,A,CAN,5332.3340,24.8900,1040
001186,78223,26174,20151231,2015,INDL,C,D,STD,008474108,AGNICO EAGLE MINES LTD,USD,12,6683.1800,A,CAN,5719.8683,26.2800,1040
001209,28222,20030,20100930,2010,INDL,C,D,STD,009158106,AIR PRODUCTS & CHEMICALS INC,USD,9,13505.9000,A,USA,17707.1645,82.8200,2810
001209,28222,20030,20110930,2011,INDL,C,D,STD,009158106,AIR PRODUCTS & CHEMICALS INC,USD,9,14290.7000,A,USA,16051.8285,76.3700,2810
001209,28222,20030,20120930,2012,INDL,C,D,STD,009158106,AIR PRODUCTS & CHEMICALS INC,USD,9,16941.8000,A,USA,17571.7652,82.7000,2810
001209,28222,20030,20130930,2013,INDL,C,D,STD,009158106,AIR PRODUCTS & CHEMICALS INC,USD,9,17850.1000,A,USA,22505.3460,106.5700,2810
001209,28222,20030,20140930,2014,INDL,C,D,STD,009158106,AIR PRODUCTS & CHEMICALS INC,USD,9,17779.1000,A,USA,27798.5070,130.1800,2810
001209,28222,20030,20150930,2015,INDL,C,D,STD,009158106,AIR PRODUCTS & CHEMICALS INC,USD,9,17438.1000,A,USA,27475.5012,127.5800,2810
001210,11368,6977,20100331,2009,INDL,C,D,STD,009207101,AIR T INC,USD,3,29.6040,A,USA,27.7134,11.4000,4513
001210,11368,6977,20110331,2010,INDL,C,D,STD,009207101,AIR T INC,USD,3,34.2210,A,USA,22.8516,9.4001,4513
001210,11368,6977,20120331,2011,INDL,C,D,STD,009207101,AIR T INC,USD,3,35.0830,A,USA,23.3593,9.5500,4513
001210,11368,6977,20130331,2012,INDL,C,D,STD,009207101,AIR T INC,USD,3,36.0550,A,USA,23.2346,9.4990,4513
001210,11368,6977,20140331,2013,INDL,C,D,STD,009207101,AIR T INC,USD,3,37.2210,A,USA,28.4955,12.1000,4513
001210,11368,6977,20150331,2014,INDL,C,D,STD,009207101,AIR T INC,USD,3,43.4560,A,USA,58.3758,24.6000,4513
001228,11456,5348,20100630,2010,INDL,C,D,STD,011612702,ALANCO TECHNOLOGIES INC,USD,6,20.4960,A,USA,8.0620,0.2160,4950
001228,11456,5348,20110630,2011,INDL,C,D,STD,011612702,ALANCO TECHNOLOGIES INC,USD,6,7.6160,A,USA,9.5043,1.9500,4950
001230,28804,20035,20101231,2010,INDL,C,D,STD,011659109,ALASKA AIR GROUP INC,USD,12,5016.6000,A,USA,2036.5316,56.6900,4512
001230,28804,20035,20111231,2011,INDL,C,D,STD,011659109,ALASKA AIR GROUP INC,USD,12,5195.0000,A,USA,2663.8178,75.0900,4512
001230,28804,20035,20121231,2012,INDL,C,D,STD,011659109,ALASKA AIR GROUP INC,USD,12,5505.0000,A,USA,3032.5449,43.0900,4512
001230,28804,20035,20131231,2013,INDL,C,D,STD,011659109,ALASKA AIR GROUP INC,USD,12,5838.0000,A,USA,5043.8940,73.3700,4512
001230,28804,20035,20141231,2014,INDL,C,D,STD,011659109,ALASKA AIR GROUP INC,USD,12,6181.0000,A,USA,7857.3046,59.7600,4512
